BGMId,OrchestrionId,Name
2,0,Prelude - Rebirth
3,587,
4,12,
5,89,
6,2,
7,50,
8,59,
9,59,
10,59,
11,59,
12,59,
13,0,The Land Bends
14,17,
15,0,Slumber Disturbed
16,583,
17,22,
18,0,Victory!
20,0,Victory!
21,0,Victory!
22,0,???
23,0,The Hero of Hatchingtide
24,0,Greenwrath
25,3,
26,49,
27,58,
28,58,
29,58,
30,58,
31,58,
32,0,Currents
33,0,The Land Breathes
35,502,
36,27,
37,430,
38,421,
39,650,
40,0,Brothers in Arms
41,368,
42,559,
43,560,
44,4,
45,48,
46,57,
47,57,
48,57,
49,57,
50,57,
51,120,
52,0,The Land Burns
53,431,
54,426,
55,0,The Gift of Life
56,0,Calling
57,0,Discordance
58,0,Beyond the Unknown
59,0,Slither
60,0,Intertwined
61,0,Bo-down
62,0,Eorzea de Chocobo
63,548,
64,549,
65,550,
66,6,
67,47,
68,0,The Tug of Fate
69,0,To the Fore
70,77,
71,76,
72,78,
73,551,
74,553,
75,552,
76,125,
77,75,
78,604,
79,0,One Blood
80,605,
81,0,Prelude - Rebirth
82,606,
83,607,
84,128,
85,608,
86,14,
87,200,
88,585,
89,15,
90,0,Relics
91,129,
92,0,The Echo
93,611,
94,0,Without Shadow
95,0,The Seventh Sun / Dawn of a New Era
96,586,
97,127,
98,93,
99,587,
100,0,Supply & Demand
101,442,
102,580,
103,13,
105,723,
106,0,Falling Shards
107,650,
108,96,
110,121,
111,0,???
112,612,
113,651,
114,609,
115,394,
116,809,
117,610,
118,9,
119,0,Ruby Sunrise
120,0,Primal Judgement
121,0,The Rider's Boon
122,574,
123,395,
124,575,
125,396,
126,576,
127,369,
128,577,
129,74,
130,0,Fever Dream
131,0,Serving the Light
132,45,
133,0,Opening Theme
134,0,A Curious Breed of Botherment
135,0,Flightless Wings
136,0,"Quick as Silver, Hard as Stone"
137,0,Battle Drums
138,0,Pitfire
141,375,
142,0,The Dragon's Dirge
143,0,Undying Faith
144,0,The Land Breaks
145,0,The Land Bleeds
146,0,Primal Timbre
147,95,
148,557,
149,558,
150,28,
151,126,
152,0,Bite of the Black Wolf
153,133,
154,42,
155,31,
156,32,
157,0,Weight of a Whisper
158,0,Weight of His Will
159,0,Weight of the World
160,264,
161,0,Flight
162,29,
163,0,Blinded by Light
164,0,Saber's Edge
165,27,
166,0,Ruby Moonrise
167,59,
168,58,
169,57,
170,584,
171,0,To the Fore
172,0,The Rider's Boon
173,42,
174,80,
175,82,
176,83,
177,0,Reign of Pain
178,0,The Seven Jesters
179,70,
180,35,
181,36,
182,13,
183,119,
184,90,
185,23,
186,93,
187,0,Where the Hearth Is
188,117,
189,85,
190,0,Discordance
191,532,
192,96,
193,0,Big-Boned
194,0,Gluppity-Schlopp
195,0,Breathless
196,16,
197,26,
198,139,
199,43,
200,70,
201,72,
202,0,Blades
203,68,
204,69,
205,613,
206,810,
207,811,
208,326,
209,249,
210,0,Birds of a Feather
211,122,
212,37,
213,0,???
214,60,
215,183,
216,67,
217,21,
218,38,
219,0,The War Room
220,0,Rouse Out!
221,106,
222,270,
223,0,Loss of Time
224,0,Or the Egg
225,0,His Holiness
226,149,
227,133,
228,0,Everbinding Oath
229,164,
230,104,
231,105,
232,0,The Decisive Battle
233,62,
234,578,
235,20,
236,44,
237,45,
238,45,
239,0,The Coil Tightens
240,45,
241,41,
242,72,
243,102,
244,262,
245,248,
246,530,
247,39,
248,36,
249,0,Hunger / The Reach of Darkness
250,7,
251,531,
252,8,
253,561,
254,427,
255,554,
256,0,The Tug of Fate
257,0,To the Fore
258,0,Chocobo Victory 1
259,0,Chocobo Victory 2
260,0,Chocobo Victory 3
261,0,Drum Roll
262,0,Magiteknical Difficulties
263,133,
264,105,
265,106,
266,0,Through The Maelstorm
267,32,
268,31,
269,0,Primal Judgement
270,0,Null BGM
271,1,
272,79,
273,53,
274,349,
275,51,
276,87,
277,5,
278,88,
279,54,
280,230,
281,0,Melt
282,10,
283,429,
284,0,Melt
285,56,
286,160,
287,0,Melt
288,55,
289,159,
290,0,Melt
291,11,
292,91,
293,0,Melt
294,382,
295,0,Melt
296,374,
297,94,
298,52,
299,529,
300,528,
301,101,
302,501,
303,64,
304,24,
305,130,
306,130,
307,130,
308,65,
309,63,
310,136,
311,134,
312,33,
313,46,
314,0,Misconception
315,398,
316,376,
317,0,For the Sky
318,0,Inception
319,0,Borderless
320,0,The Dragon's Dirge
321,28,
322,441,
323,108,
324,109,
325,137,
326,135,
327,110,
328,47,
329,555,
330,80,
331,126,
332,0,Battle Theme
333,0,Battle Theme #2
334,0,Recollection
335,0,The Kingdom of San d'Oria
336,0,The Republic of Bastok
337,0,The Federation of Windurst
338,0,The Merry Wanderer Waltz
339,0,Heavy Rain
340,86,
341,0,Heroes Never Die
342,74,
343,123,
344,27,
345,155,
346,247,
347,0,Aetherpause
348,0,Voidal Manifest
349,0,???
350,0,Brothers in Arms
351,421,
352,0,The Dark's Kiss
353,530,
354,133,
355,72,
356,140,
357,95,
358,0,Prelude - Rebirth (2nd ver)
359,116,
360,0,test
361,25,
362,432,
