RowId,ItemId,ContentFinderConditionId,Quantity,FightNo,CofferNo
1,2684,4,1,0,0
2,2683,4,1,0,0
3,2679,4,1,0,0
4,3556,4,1,0,0
5,3554,4,1,0,0
6,3555,4,1,0,0
7,4206,4,1,0,0
8,4207,4,1,0,0
9,4310,4,1,0,0
10,4096,4,1,0,0
11,3033,4,1,1,0
12,3034,4,1,1,0
13,3035,4,1,1,0
14,3331,4,1,1,0
15,3329,4,1,1,0
16,3330,4,1,1,0
17,31422,4,1,2,0
18,31423,4,1,2,0
19,31421,4,1,2,0
20,31425,4,1,2,0
21,31424,4,1,2,0
22,31427,4,1,2,0
23,31428,4,1,2,0
24,31426,4,1,2,0
25,3781,4,1,2,0
26,3786,4,1,2,0
27,3787,4,1,2,0
28,38467,4,1,2,0
29,36374,4,1,2,0
30,2684,2,1,0,0
31,2683,2,1,0,0
32,2679,2,1,0,0
33,3556,2,1,0,0
34,3554,2,1,0,0
35,3555,2,1,0,0
36,2684,2,1,1,0
37,2683,2,1,1,0
38,2679,2,1,1,0
39,3556,2,1,1,0
40,3554,2,1,1,0
41,3555,2,1,1,0
42,4206,2,1,1,0
43,4207,2,1,1,0
44,4310,2,1,1,0
45,4096,2,1,1,0
46,3033,2,1,2,0
47,3034,2,1,2,0
48,3035,2,1,2,0
49,3331,2,1,2,0
50,3329,2,1,2,0
51,3330,2,1,2,0
52,31422,2,1,3,0
53,31423,2,1,3,0
54,31421,2,1,3,0
55,31425,2,1,3,0
56,31424,2,1,3,0
57,31427,2,1,3,0
58,31428,2,1,3,0
59,31426,2,1,3,0
60,3781,2,1,3,0
61,3786,2,1,3,0
62,3787,2,1,3,0
63,38467,2,1,3,0
64,2684,3,1,0,0
65,2683,3,1,0,0
66,2679,3,1,0,0
67,3556,3,1,0,0
68,3554,3,1,0,0
69,3555,3,1,0,0
70,4206,3,1,0,0
71,4207,3,1,0,0
72,4310,3,1,0,0
73,4096,3,1,0,0
74,3033,3,1,1,0
75,3034,3,1,1,0
76,3035,3,1,1,0
77,3331,3,1,1,0
78,3329,3,1,1,0
79,3330,3,1,1,0
80,31422,3,1,2,0
81,31423,3,1,2,0
82,31421,3,1,2,0
83,31425,3,1,2,0
84,31424,3,1,2,0
85,31427,3,1,2,0
86,31428,3,1,2,0
87,31426,3,1,2,0
88,3781,3,1,2,0
89,3786,3,1,2,0
90,3787,3,1,2,0
91,38467,3,1,2,0
92,33130,3,1,2,0
93,2721,7,1,0,0
94,2718,7,1,0,0
95,2722,7,1,0,0
96,31430,7,1,0,0
97,31434,7,1,0,0
98,31438,7,1,0,0
99,3054,7,1,1,1
100,3055,7,1,1,1
101,3056,7,1,1,1
102,31431,7,1,1,1
103,31435,7,1,1,1
104,31439,7,1,1,1
105,2721,7,1,1,2
106,2718,7,1,1,2
107,2722,7,1,1,2
108,31430,7,1,1,2
109,31434,7,1,1,2
110,31438,7,1,1,2
111,1763,7,1,2,0
112,1832,7,1,2,0
113,1693,7,1,2,0
114,9189,7,1,2,0
115,1901,7,1,2,0
116,2065,7,1,2,0
117,2152,7,1,2,0
118,2006,7,1,2,0
119,4210,7,1,2,0
120,4101,7,1,2,0
121,4434,7,1,2,0
122,38469,7,1,2,0
123,33125,7,1,2,0
124,2749,1,1,0,0
125,2747,1,1,0,0
