RowId,ItemId,ChestId,Min,Max,Probability
1,31423,1,1,1,12.18
2,38467,1,1,1,11.58
3,3781,1,1,1,17.17
4,31422,1,1,1,11.99
5,31424,1,1,1,11.02
6,31426,1,1,1,10.87
7,31425,1,1,1,10.58
8,36374,1,1,1,24.94
9,3786,1,1,1,15.86
10,31428,1,1,1,10.7
11,31427,1,1,1,10.41
12,3787,1,1,1,16
13,31421,1,1,1,10.66
14,2683,2,1,1,16.92
15,4310,2,1,1,24.67
16,2684,2,1,1,16.08
17,4096,2,1,1,24.52
18,3555,2,1,1,16.29
19,4207,2,1,1,25
20,3556,2,1,1,17.32
21,3554,2,1,1,16.64
22,4206,2,1,1,25.81
23,2679,2,1,1,16.76
24,3329,3,1,1,17.23
25,3331,3,1,1,16.74
26,3035,3,1,1,15.92
27,3034,3,1,1,16.62
28,3033,3,1,1,17
29,3330,3,1,1,16.48
30,3786,4,1,1,31
31,3787,4,1,1,32.47
32,3781,4,1,1,36.53
33,2684,5,1,1,18.82
34,3554,5,1,1,17.06
35,3556,5,1,1,17.65
36,2683,5,1,1,14.71
37,3555,5,1,1,15.29
38,2679,5,1,1,16.47
39,3035,6,1,1,23.96
40,3331,6,1,1,18.75
41,3033,6,1,1,18.75
42,3034,6,1,1,16.67
43,3329,6,1,1,13.54
44,3330,6,1,1,8.33
45,31426,7,1,1,10.89
46,31421,7,1,1,17.82
47,2682,7,1,1,9.9
48,31424,7,1,1,11.88
49,3031,7,1,1,2.97
50,31425,7,1,1,9.9
51,2235,7,1,1,7.92
52,31427,7,1,1,9.9
53,38467,7,1,1,13.86
54,31428,7,1,1,9.9
55,3782,7,1,1,7.92
56,3030,7,1,1,8.91
57,31423,7,1,1,8.91
58,31422,7,1,1,6.93
59,3032,7,1,1,2.97
60,3783,7,1,1,3.96
61,3781,8,1,1,16.48
62,31426,8,1,1,10.83
63,31427,8,1,1,10.58
64,38467,8,1,1,11.38
65,3786,8,1,1,16.02
66,31421,8,1,1,11.51
67,3787,8,1,1,17.32
68,31428,8,1,1,11.27
69,31422,8,1,1,10.6
70,31425,8,1,1,12.09
71,31423,8,1,1,10.77
72,31424,8,1,1,10.98
73,3781,9,1,1,13.45
74,4096,9,1,1,10.55
75,4206,9,1,1,15.64
76,3786,9,1,1,14.55
77,4310,9,1,1,11.27
78,3787,9,1,1,20.36
79,4207,9,1,1,14.18
80,2679,10,1,1,16.33
81,2683,10,1,1,17.18
82,3556,10,1,1,16.94
83,3555,10,1,1,16.61
84,2684,10,1,1,16.39
85,3554,10,1,1,16.56
86,2684,11,1,1,17.58
87,4206,11,1,1,24.75
88,3556,11,1,1,16.98
89,4207,11,1,1,24.07
90,3554,11,1,1,16.85
91,4096,11,1,1,25.91
92,4310,11,1,1,25.26
93,2679,11,1,1,15.59
94,3555,11,1,1,17.26
95,2683,11,1,1,15.75
96,3331,12,1,1,16.45
97,3035,12,1,1,17.68
98,3330,12,1,1,16.81
99,3033,12,1,1,15.65
100,3329,12,1,1,16.9
101,3034,12,1,1,16.5
102,3331,13,1,1,16.79
103,3035,13,1,1,17.26
104,3329,13,1,1,17.32
105,3034,13,1,1,16.49
106,3330,13,1,1,16.44
107,3033,13,1,1,15.7
108,31425,14,1,1,12.1
109,2682,14,1,1,7.8
110,31422,14,1,1,9.71
111,3031,14,1,1,6.37
112,31421,14,1,1,10.67
113,31426,14,1,1,10.67
114,3783,14,1,1,6.05
115,38467,14,1,1,11.31
116,31424,14,1,1,10.19
117,2235,14,1,1,9.24
118,31427,14,1,1,12.74
119,31423,14,1,1,10.51
120,3030,14,1,1,5.73
121,31428,14,1,1,12.1
122,3032,14,1,1,7.64
123,3782,14,1,1,7.96
124,3555,15,1,1,16.3
125,4310,15,1,1,25.04
126,2683,15,1,1,17.39
127,4207,15,1,1,24.52
128,3556,15,1,1,16.48
129,3554,15,1,1,16.52
130,4206,15,1,1,25.07
131,4096,15,1,1,25.37
132,2684,15,1,1,16.33
133,2679,15,1,1,16.97
134,3781,16,1,1,16.93
135,4207,16,1,1,12.57
136,3787,16,1,1,17.05
137,3786,16,1,1,17.17
138,4310,16,1,1,12.32
139,4096,16,1,1,12.51
140,4206,16,1,1,11.45
141,31421,17,1,1,10.68
142,33130,17,1,1,24.68
143,38467,17,1,1,10.8
144,31422,17,1,1,11.28
145,31427,17,1,1,11.38
146,3781,17,1,1,16.31
147,31426,17,1,1,10.7
148,31423,17,1,1,10.63
149,31424,17,1,1,11.09
150,31425,17,1,1,11.58
151,3786,17,1,1,17.12
152,3787,17,1,1,17.25
153,31428,17,1,1,11.86
154,3033,18,1,1,17.41
155,3331,18,1,1,17.77
156,3329,18,1,1,16.37
157,3034,18,1,1,15.82
158,3035,18,1,1,16.14
159,3330,18,1,1,16.48
160,3554,19,1,1,14.99
161,2679,19,1,1,16.76
162,2683,19,1,1,17.54
163,3555,19,1,1,15.82
164,2684,19,1,1,17.4
165,3556,19,1,1,17.49
166,3034,20,1,1,17
167,3331,20,1,1,16.06
168,3035,20,1,1,16.82
169,3033,20,1,1,16.53
170,3330,20,1,1,16.88
171,3329,20,1,1,16.71
172,31425,21,1,1,9.42
173,3030,21,1,1,7.85
174,31423,21,1,1,11.73
175,31426,21,1,1,11.2
176,38467,21,1,1,9.21
177,31427,21,1,1,8.9
178,31421,21,1,1,11.94
179,2682,21,1,1,6.6
180,31422,21,1,1,13.4
181,31424,21,1,1,12.46
182,2235,21,1,1,8.06
183,3031,21,1,1,9.11
184,3782,21,1,1,7.96
185,3032,21,1,1,6.81
186,3783,21,1,1,6.49
187,31428,21,1,1,11.73
188,1901,22,1,1,11.18
189,38469,22,1,1,11.84
190,2065,22,1,1,17.76
191,9189,22,1,1,11.18
192,1693,22,1,1,11.18
193,1763,22,1,1,9.21
194,2152,22,1,1,4.61
195,2006,22,1,1,10.53
196,1832,22,1,1,12.5
197,3054,23,1,1,20.06
198,31439,23,1,1,15.29
199,31435,23,1,1,15.92
200,3056,23,1,1,16.24
201,31431,23,1,1,15.92
202,3055,23,1,1,16.56
203,31432,24,1,1,16.65
204,31440,24,1,1,17.2
205,4434,24,1,1,18.98
206,4210,24,1,1,14.65
207,4101,24,1,1,16.2
208,31436,24,1,1,16.32
209,31430,25,1,1,18.01
210,2722,25,1,1,15.96
211,2718,25,1,1,16.48
212,31438,25,1,1,17.01
213,2721,25,1,1,16.31
214,31434,25,1,1,16.23
215,3054,26,1,1,15.66
216,3056,26,1,1,16.61
217,31431,26,1,1,16.66
218,31435,26,1,1,16.96
219,3055,26,1,1,17.16
220,31439,26,1,1,16.94
221,31434,27,1,1,16.53
222,2718,27,1,1,16.3
223,2721,27,1,1,17.24
224,2722,27,1,1,16.94
225,31430,27,1,1,16.66
226,31438,27,1,1,16.33
227,2006,28,1,1,11.82
228,4434,28,1,1,33.54
229,1693,28,1,1,11.98
230,4101,28,1,1,33.24
231,2065,28,1,1,11.55
232,33125,28,1,1,23.92
233,2152,28,1,1,10.68
234,4210,28,1,1,33.22
235,38469,28,1,1,10.63
236,1832,28,1,1,11.09
237,9189,28,1,1,10.36
238,1901,28,1,1,10.87
239,1763,28,1,1,11.01
240,4210,29,1,1,17.15
241,4101,29,1,1,15.5
242,31440,29,1,1,18.9
243,4434,29,1,1,20.16
244,31436,29,1,1,15.31
245,31432,29,1,1,12.98
246,2718,30,1,1,14.67
247,2722,30,1,1,17.76
248,31430,30,1,1,15.54
249,31438,30,1,1,19.21
250,31434,30,1,1,16.22
251,2721,30,1,1,16.6
252,31435,31,1,1,15.16
253,3055,31,1,1,17.4
254,31439,31,1,1,16.52
255,3054,31,1,1,16.62
256,3056,31,1,1,17.98
257,31431,31,1,1,16.33
258,2006,32,1,1,10.82
259,1901,32,1,1,12.34
260,38469,32,1,1,11.27
261,2152,32,1,1,10.38
262,1693,32,1,1,12.16
263,1832,32,1,1,11.63
264,1763,32,1,1,11.54
265,9189,32,1,1,9.93
266,2065,32,1,1,9.93
267,4434,33,1,1,35
268,4101,33,1,1,32.18
269,4210,33,1,1,32.82
270,3584,34,1,1,16.92
271,31448,34,1,1,16.66
272,2748,34,1,1,16.92
273,3585,34,1,1,15.77
274,2749,34,1,1,17.01
275,2747,34,1,1,16.73
276,2748,35,1,1,16.52
277,3585,35,1,1,17.34
278,31448,35,1,1,17.03
279,3584,35,1,1,16.16
280,2749,35,1,1,17.59
281,2747,35,1,1,15.36
282,3824,36,1,1,33.96
283,31443,36,1,1,32.88
284,31446,36,1,1,33.16
285,3093,37,1,1,16.65
286,31445,37,1,1,16.45
287,3095,37,1,1,15.73
288,3094,37,1,1,16.99
289,3364,37,1,1,17.46
290,31442,37,1,1,16.72
291,1907,38,1,1,11.05
292,2159,38,1,1,11.09
293,2117,38,1,1,11.09
294,2013,38,1,1,11.55
295,9195,38,1,1,11.3
296,1696,38,1,1,11.07
297,1835,38,1,1,10.63
298,1768,38,1,1,10.8
299,38470,38,1,1,11.41
300,1835,39,1,1,11.32
301,1768,39,1,1,10.75
302,2245,39,1,1,20.48
303,2013,39,1,1,11.62
304,38652,39,1,1,25.04
305,2117,39,1,1,11.27
306,31446,39,1,1,16.48
307,9195,39,1,1,10.88
308,31443,39,1,1,16.5
309,3824,39,1,1,16.91
310,1907,39,1,1,10.25
311,38470,39,1,1,12.1
312,2159,39,1,1,10.82
313,1696,39,1,1,10.99
314,31442,40,1,1,17.59
315,31445,40,1,1,16.38
316,3094,40,1,1,16.77
317,3095,40,1,1,15.67
318,3093,40,1,1,17.35
319,3364,40,1,1,16.24
320,4114,41,1,1,4.69
321,4110,41,1,1,6.25
322,31460,41,1,1,18.75
323,4112,41,1,1,3.91
324,4329,41,1,1,3.12
325,4323,41,1,1,2.34
326,4118,41,1,1,2.34
327,31454,41,1,1,12.5
328,4321,41,1,1,3.91
329,4122,41,1,1,2.34
330,31466,41,1,1,17.97
331,4331,41,1,1,4.69
332,4116,41,1,1,3.12
333,4120,41,1,1,4.69
334,4327,41,1,1,4.69
335,4325,41,1,1,2.34
336,2255,41,1,1,2.34
337,31462,42,1,1,16.73
338,4325,42,1,1,7.28
339,31464,42,1,1,16.78
340,4323,42,1,1,7.1
341,31456,42,1,1,16.56
342,4120,42,1,1,6.76
343,31452,42,1,1,16.95
344,2255,42,1,1,7.26
345,4118,42,1,1,7.1
346,31458,42,1,1,16.91
347,4110,42,1,1,7.46
348,4331,42,1,1,6.95
349,4321,42,1,1,6.88
350,4329,42,1,1,7.22
351,4327,42,1,1,7.44
352,31450,42,1,1,16.07
353,4122,42,1,1,7.13
354,4114,42,1,1,7.3
355,4112,42,1,1,7.52
356,4116,42,1,1,6.6
357,31465,43,1,1,16.78
358,4221,43,1,1,6.63
359,31451,43,1,1,17.22
360,4225,43,1,1,6.98
361,31457,43,1,1,17.16
362,4451,43,1,1,7.57
363,31453,43,1,1,16.58
364,4445,43,1,1,7.11
365,4219,43,1,1,6.77
366,31463,43,1,1,15.99
367,4449,43,1,1,6.73
368,31459,43,1,1,16.26
369,4443,43,1,1,7.54
370,4447,43,1,1,7.47
371,4455,43,1,1,7.08
372,4227,43,1,1,7.39
373,4217,43,1,1,7.08
374,4453,43,1,1,7.44
375,4223,43,1,1,6.96
376,4215,43,1,1,7.26
377,9198,44,1,1,10.28
378,2120,44,1,1,9.35
379,2165,44,1,1,11.22
380,1775,44,1,1,14.95
381,1914,44,1,1,14.95
382,1844,44,1,1,11.22
383,1705,44,1,1,11.22
384,38471,44,1,1,8.41
385,2020,44,1,1,8.41
386,2120,45,1,1,11.54
387,31466,45,1,1,16.67
388,30253,45,1,1,25.05
389,2165,45,1,1,10.67
390,31454,45,1,1,17.24
391,1914,45,1,1,11
392,38471,45,1,1,10.92
393,1775,45,1,1,11.36
394,9198,45,1,1,10.89
395,31460,45,1,1,16.92
396,1705,45,1,1,11.23
397,2020,45,1,1,11.21
398,1844,45,1,1,11.18
399,31462,46,1,1,17.73
400,31458,46,1,1,18.73
401,31456,46,1,1,16.05
402,31464,46,1,1,16.05
403,31452,46,1,1,12.71
404,31450,46,1,1,18.73
405,31453,47,1,1,19.45
406,31457,47,1,1,15.81
407,31463,47,1,1,15.81
408,31451,47,1,1,16.41
409,31459,47,1,1,14.89
410,31465,47,1,1,17.63
411,4462,48,1,1,10.7
412,3839,48,1,1,17.58
413,4460,48,1,1,10.61
414,4459,48,1,1,11.33
415,3838,48,1,1,16.32
416,4463,48,1,1,11.72
417,3840,48,1,1,16.65
418,4461,48,1,1,10.82
419,9382,48,1,1,10.79
420,4457,48,1,1,12.26
421,4464,48,1,1,10.52
422,4458,48,1,1,11.24
423,3610,49,1,1,15.96
424,2771,49,1,1,15.53
425,2770,49,1,1,17.87
426,3609,49,1,1,14.47
427,3608,49,1,1,17.87
428,2772,49,1,1,18.3
429,3122,50,1,1,18
430,3124,50,1,1,18
431,3123,50,1,1,16
432,3380,50,1,1,13
433,3381,50,1,1,22
434,3382,50,1,1,13
435,4458,51,1,1,17.14
436,4461,51,1,1,17.14
437,4463,51,1,1,5.71
438,9382,51,1,1,8.57
439,4460,51,1,1,20
440,4457,51,1,1,11.43
441,4462,51,1,1,11.43
442,4464,51,1,1,5.71
443,4459,51,1,1,2.86
444,31476,52,1,1,8.67
445,31475,52,1,1,8.22
446,31472,52,1,1,9.04
447,38472,52,1,1,7.76
448,31471,52,1,1,7.91
449,31473,52,1,1,7.53
450,31477,52,1,1,8.32
451,31469,52,1,1,8.16
452,31479,52,1,1,7.68
453,31474,52,1,1,8.89
454,31470,52,1,1,8.76
455,31478,52,1,1,9.05
456,2770,53,1,1,17.65
457,2772,53,1,1,16.7
458,3610,53,1,1,16.5
459,2771,53,1,1,16.6
460,3609,53,1,1,16.01
461,3608,53,1,1,16.54
462,3123,54,1,1,16.87
463,3381,54,1,1,17.19
464,3124,54,1,1,16.39
465,3382,54,1,1,16.79
466,3380,54,1,1,16.2
467,3122,54,1,1,16.56
468,3840,55,1,1,15.71
469,31472,55,1,1,8.48
470,31479,55,1,1,8.62
471,38472,55,1,1,8.26
472,31475,55,1,1,8.1
473,38653,55,1,1,25.85
474,31477,55,1,1,8.26
475,31470,55,1,1,8.32
476,31469,55,1,1,7.99
477,3838,55,1,1,15.91
478,31471,55,1,1,8.1
479,3839,55,1,1,16.94
480,31474,55,1,1,7.97
481,31476,55,1,1,8.38
482,31478,55,1,1,8.6
483,31473,55,1,1,8.93
484,39606,56,1,1,21.9
485,31485,56,1,1,34.29
486,31491,56,1,1,22.86
487,31496,56,1,1,20.95
488,31494,57,1,1,17.71
489,31481,57,1,1,22.29
490,31489,57,1,1,20
491,31487,57,1,1,22.86
492,31483,57,1,1,17.14
493,31493,58,1,1,17.3
494,31482,58,1,1,19.46
495,31488,58,1,1,16.76
496,31495,58,1,1,17.84
497,31490,58,1,1,13.51
498,31484,58,1,1,15.14
499,1710,59,1,1,9.02
500,10499,59,1,1,8.28
501,2080,59,1,1,7.7
502,10437,59,1,1,7.77
503,2168,59,1,1,7.93
504,1780,59,1,1,8.28
505,2025,59,1,1,8.89
506,1849,59,1,1,8.35
507,38473,59,1,1,8.06
508,10561,59,1,1,8.57
509,1919,59,1,1,8.7
510,9203,59,1,1,8.44
511,31481,60,1,1,25.27
512,31489,60,1,1,16.24
513,31483,60,1,1,15.85
514,31487,60,1,1,25.92
515,31494,60,1,1,16.72
516,31491,61,1,1,16.97
517,9203,61,1,1,8.47
518,2168,61,1,1,8.42
519,10561,61,1,1,8.42
520,1780,61,1,1,8.61
521,39606,61,1,1,19.27
522,1710,61,1,1,8.04
523,1849,61,1,1,8.81
524,1919,61,1,1,8.93
525,31485,61,1,1,16.51
526,2025,61,1,1,7.81
527,31496,61,1,1,17.12
528,10499,61,1,1,8.1
529,38473,61,1,1,8.25
530,10437,61,1,1,8.11
531,2080,61,1,1,8.04
532,31493,62,1,1,16.57
533,31488,62,1,1,16.97
534,31490,62,1,1,16.7
535,31484,62,1,1,15.8
536,31495,62,1,1,16.9
537,31482,62,1,1,17.07
538,2783,63,1,1,16.16
539,3136,63,1,1,6.61
540,4346,63,1,1,6.45
541,2781,63,1,1,17.12
542,4244,63,1,1,6.47
543,2782,63,1,1,16.14
544,31501,63,1,1,16.6
545,4240,63,1,1,5.68
546,4348,63,1,1,6.22
547,4340,63,1,1,6.43
548,4350,63,1,1,6.14
549,4238,63,1,1,6.66
550,3618,63,1,1,16.6
551,4352,63,1,1,6.24
552,31498,63,1,1,17.37
553,4338,63,1,1,6.12
554,4344,63,1,1,6.53
555,4236,63,1,1,5.3
556,4234,63,1,1,6.7
557,4342,63,1,1,5.78
558,4246,63,1,1,6.09
559,4242,63,1,1,6.57
560,3134,64,1,1,16.6
561,4148,64,1,1,5.93
562,3135,64,1,1,17.39
563,4138,64,1,1,6.01
564,3133,64,1,1,16.58
565,4473,64,1,1,5.32
566,4466,64,1,1,5.34
567,31502,64,1,1,16.7
568,4471,64,1,1,6.2
569,31500,64,1,1,16.62
570,4131,64,1,1,6.34
571,4142,64,1,1,5.32
572,4134,64,1,1,5.91
573,4475,64,1,1,5.77
574,4469,64,1,1,5.89
575,4477,64,1,1,5.99
576,4481,64,1,1,6.03
577,4136,64,1,1,5.67
578,4479,64,1,1,5.89
579,3401,64,1,1,16.13
580,4146,64,1,1,5.65
581,4140,64,1,1,6.24
582,4144,64,1,1,6.5
583,3846,65,1,1,19.77
584,31503,65,1,1,15.89
585,31499,65,1,1,19.57
586,4338,65,1,1,3.88
587,4242,65,1,1,1.74
588,4244,65,1,1,3.1
589,4240,65,1,1,3.49
590,4350,65,1,1,2.13
591,4352,65,1,1,3.29
592,4234,65,1,1,2.33
593,3136,65,1,1,3.1
594,4340,65,1,1,3.49
595,4246,65,1,1,3.88
596,4346,65,1,1,3.49
597,4348,65,1,1,2.33
598,4342,65,1,1,1.94
599,4238,65,1,1,1.74
600,4236,65,1,1,2.71
601,4344,65,1,1,2.13
602,2782,66,1,1,12.13
603,31501,66,1,1,17.99
604,3618,66,1,1,15.9
605,2783,66,1,1,19.67
606,2781,66,1,1,17.15
607,31498,66,1,1,17.15
608,3134,67,1,1,16.07
609,3135,67,1,1,15.59
610,3133,67,1,1,17.27
611,3401,67,1,1,19.18
612,31500,67,1,1,15.83
613,31502,67,1,1,16.07
614,31511,68,1,1,7.36
615,31515,68,1,1,12.88
616,31510,68,1,1,6.75
617,38474,68,1,1,7.98
618,31509,68,1,1,8.59
619,31512,68,1,1,8.59
620,31513,68,1,1,4.91
621,31506,68,1,1,9.2
622,31507,68,1,1,6.75
623,31514,68,1,1,11.04
624,31516,68,1,1,8.59
625,31508,68,1,1,7.36
626,31509,69,1,1,7.72
627,31503,69,1,1,14.69
628,31508,69,1,1,9.07
629,31515,69,1,1,8.81
630,31499,69,1,1,17.35
631,31506,69,1,1,8.32
632,3846,69,1,1,17.22
633,31511,69,1,1,8.19
634,31513,69,1,1,7.78
635,31673,69,1,1,25.35
636,31510,69,1,1,8.58
637,31507,69,1,1,8.21
638,38474,69,1,1,7.48
639,31514,69,1,1,8.34
640,31516,69,1,1,9.61
641,31512,69,1,1,7.87
642,31534,70,1,1,24.92
643,39607,70,1,1,18.77
644,31528,70,1,1,29.23
645,31522,70,1,1,27.08
646,31532,71,1,1,15.9
647,31526,71,1,1,18.2
648,31524,71,1,1,17.1
649,31520,71,1,1,14.6
650,31518,71,1,1,17.8
651,31530,71,1,1,16.4
652,31533,72,1,1,15.27
653,31519,72,1,1,16.05
654,31527,72,1,1,19.29
655,31531,72,1,1,16.16
656,31521,72,1,1,19.4
657,31525,72,1,1,13.82
658,1788,73,1,1,7.57
659,10438,73,1,1,7.81
660,9214,73,1,1,7.53
661,38475,73,1,1,8.02
662,10500,73,1,1,7.49
663,10562,73,1,1,7.97
664,2032,73,1,1,7.72
665,1718,73,1,1,7.24
666,2176,73,1,1,8.06
667,2128,73,1,1,7.61
668,1927,73,1,1,7.57
669,2177,73,1,1,7.61
670,1857,73,1,1,7.81
671,31520,74,1,1,16.83
672,31526,74,1,1,17.38
673,31524,74,1,1,16.19
674,31518,74,1,1,15.71
675,31532,74,1,1,16.54
676,31530,74,1,1,17.35
677,31533,75,1,1,17.39
678,31527,75,1,1,16.11
679,31521,75,1,1,16
680,31531,75,1,1,16.99
681,31519,75,1,1,16.85
682,31525,75,1,1,16.67
683,31534,76,1,1,17.36
684,1927,76,1,1,7.72
685,2128,76,1,1,7.33
686,39607,76,1,1,19.1
687,31528,76,1,1,16.5
688,1718,76,1,1,8
689,31522,76,1,1,16.59
690,1857,76,1,1,7.62
691,38475,76,1,1,7.6
692,2176,76,1,1,7.83
693,9214,76,1,1,7.81
694,2032,76,1,1,7.7
695,10562,76,1,1,7.32
696,10500,76,1,1,8.02
697,2177,76,1,1,8.07
698,1788,76,1,1,7.32
699,10438,76,1,1,7.67
700,3910,77,1,1,11.48
701,3190,77,1,1,12.89
702,3919,77,1,1,12.6
703,3189,77,1,1,9.24
704,3926,77,1,1,12.6
705,2856,77,1,1,9.24
706,3445,77,1,1,9.8
707,3446,77,1,1,9.24
708,31541,77,1,1,12.89
709,31547,78,1,1,8.66
710,2856,78,1,1,19.77
711,31548,78,1,1,7.96
712,3189,78,1,1,20.59
713,31544,78,1,1,8.2
714,31551,78,1,1,8.84
715,3446,78,1,1,20.17
716,31553,78,1,1,8
717,3445,78,1,1,19.82
718,38476,78,1,1,7.69
719,31552,78,1,1,8.53
720,3190,78,1,1,19.65
721,31543,78,1,1,8.83
722,31549,78,1,1,8.53
723,31545,78,1,1,7.9
724,31550,78,1,1,8.89
725,31546,78,1,1,7.97
726,2919,79,1,1,12.8
727,3705,79,1,1,12.46
728,2896,79,1,1,12.88
729,31538,79,1,1,13.11
730,2906,79,1,1,11.98
731,31536,79,1,1,11.98
732,31540,79,1,1,12.57
733,2887,79,1,1,12.21
734,3219,80,1,1,12.62
735,3217,80,1,1,11.86
736,3476,80,1,1,12.94
737,3248,80,1,1,12.03
738,31539,80,1,1,12.03
739,3480,80,1,1,12.92
740,3207,80,1,1,13.18
741,31537,80,1,1,12.43
742,3705,81,1,1,12.59
743,31540,81,1,1,12.68
744,2887,81,1,1,13.18
745,31538,81,1,1,12.37
746,2896,81,1,1,12.73
747,31536,81,1,1,12.24
748,2919,81,1,1,12.32
749,2906,81,1,1,11.9
750,3248,82,1,1,12.04
751,3476,82,1,1,11.72
752,31537,82,1,1,12.82
753,3219,82,1,1,13.66
754,3207,82,1,1,11.95
755,3480,82,1,1,13.05
756,3217,82,1,1,13.01
757,31539,82,1,1,11.75
758,31550,83,1,1,8.48
759,31544,83,1,1,7.78
760,30254,83,1,1,24.62
761,3919,83,1,1,12.04
762,31548,83,1,1,8.95
763,31552,83,1,1,8.09
764,31546,83,1,1,8.5
765,38476,83,1,1,8.48
766,31541,83,1,1,12.27
767,31549,83,1,1,7.83
768,31547,83,1,1,8.24
769,3910,83,1,1,13.16
770,31545,83,1,1,8.32
771,31551,83,1,1,8.72
772,3926,83,1,1,12.04
773,31543,83,1,1,8.29
774,31553,83,1,1,8.32
775,1730,84,1,1,8.3
776,38477,84,1,1,8.28
777,31559,84,1,1,17.26
778,1869,84,1,1,8.61
779,39608,84,1,1,25.31
780,1798,84,1,1,8.78
781,10439,84,1,1,8.17
782,44107,84,1,1,7.9
783,31571,84,1,1,17.21
784,2187,84,1,1,8.17
785,31565,84,1,1,16.63
786,1939,84,1,1,8.68
787,2042,84,1,1,8.22
788,9219,84,1,1,8.15
789,10563,84,1,1,8.37
790,10501,84,1,1,8.37
791,31561,85,1,1,16.8
792,4265,85,1,1,7.26
793,31569,85,1,1,16.95
794,4269,85,1,1,6.61
795,31563,85,1,1,16.69
796,4171,85,1,1,7.63
797,4263,85,1,1,7.21
798,4503,85,1,1,7.45
799,4505,85,1,1,6.66
800,31555,85,1,1,16.87
801,4507,85,1,1,6.98
802,4509,85,1,1,7.14
803,4511,85,1,1,6.97
804,31567,85,1,1,16.76
805,4513,85,1,1,7.04
806,4267,85,1,1,7.58
807,31557,85,1,1,15.94
808,4261,85,1,1,7.69
809,4259,85,1,1,7.23
810,4515,85,1,1,6.55
