RowId,ENpcResidentId,TerritoryTypeId,MapId,PlaceNameId,Position
0,1000101,132,2,52,11.7;13.4
1,1000105,148,4,54,22.5;22.2
2,1000106,132,2,52,11.8;13.3
3,1000107,132,2,52,11.7;13.3
4,1000109,132,2,52,11.8;13.5
5,1000122,132,2,52,13;13.8
6,1000123,132,2,52,14;14.4
7,1000125,132,2,52,10.1;11.2
8,1000129,148,4,54,20.5;20.8
9,1000136,132,2,52,11.8;12.6
10,1000139,132,2,52,11.9;13.6
11,1000140,132,2,52,11.9;13.1
12,1000146,132,2,52,12.2;12.2
13,1000148,132,2,52,10.8;12.1
14,1000149,132,2,52,11;12.2
15,1000153,132,2,52,10.3;12.3
16,1000156,132,2,52,11.3;11
17,1000159,132,2,52,12;11.6
18,1000161,132,2,52,9.6;12
19,1000162,132,2,52,9.6;12.3
20,1000168,132,2,52,9.7;11.1
21,1000170,133,3,53,12.6;6.1
22,1000171,132,2,52,8.9;13.1
23,1000172,154,7,57,28.6;26.1
24,1000179,133,3,53,8.1;10.6
25,1000184,132,2,52,11.4;11.8
26,1000185,132,2,52,11;11.1
27,1000193,132,2,52,10.1;11.3
28,1000194,132,2,52,10.9;12
29,1000195,132,2,52,15.1;12.3
30,1000197,132,2,52,15.2;12.1
31,1000199,132,2,52,15.4;11.8
32,1000200,132,2,52,15.4;11.9
33,1000204,132,2,52,15.7;11.8
34,1000206,132,2,52,15.1;12
35,1000214,133,3,53,14.2;9.9
36,1000215,133,3,53,14.3;9.8
37,1000216,133,3,53,14.4;9.6
38,1000217,133,3,53,14.6;9.7
39,1000218,133,3,53,14.5;10
40,1000220,148,4,54,21.8;21.1
41,1000222,152,5,55,17.2;27.4
42,1000227,133,3,53,14.6;9.9
43,1000228,133,3,53,14.6;9.9
44,1000230,154,7,57,29.9;18.9
45,1000232,133,3,53,14.5;8.5
46,1000233,133,3,53,14.6;9.3
47,1000234,154,7,57,29.9;19
48,1000235,133,3,53,6.6;11
49,1000236,133,3,53,14.4;8.9
50,1000238,133,3,53,14.3;8.8
51,1000239,133,3,53,14.6;8.8
