Identifier,BlockedTiles,Present,Sword,Sword3x2,ConfirmedFoxes
A←,5 7 19 22 26,24,2,True,6 12 32 35
A←,5 7 19 22 26,14,2,True,6 12 32 35
A←,5 7 19 22 26,24,8,True,2 11 13 17
A←,5 7 19 22 26,27,8,True,2 11 13 17
A←,5 7 19 22 26,24,9,True,0 8 14 21
A←,5 7 19 22 26,27,9,True,0 8 14 21
A←,5 7 19 22 26,27,2,False,6 12 32 35
A←,5 7 19 22 26,10,2,False,6 12 32 35
A←,5 7 19 22 26,24,3,False,0 8 14 21
A←,5 7 19 22 26,28,3,False,0 8 14 21
A←,5 7 19 22 26,24,8,False,1 4 18 23
A←,5 7 19 22 26,28,8,False,1 4 18 23
A←,5 7 19 22 26,10,27,True,1 4 18 23
A←,5 7 19 22 26,2,27,True,1 4 18 23
A←,5 7 19 22 26,3,27,True,2 11 13 17
A←,5 7 19 22 26,14,27,True,2 11 13 17
A,8 10 13 26 35,0,16,False,3 4 12 30
A,8 10 13 26 35,14,16,False,3 4 12 30
A,8 10 13 26 35,0,15,False,9 17 33 34
A,8 10 13 26 35,18,15,False,9 17 33 34
A,8 10 13 26 35,0,21,False,5 15 16 20
A,8 10 13 26 35,18,21,False,5 15 16 20
A,8 10 13 26 35,18,15,True,3 4 12 30
A,8 10 13 26 35,27,15,True,3 4 12 30
A,8 10 13 26 35,0,21,True,5 15 16 20
A,8 10 13 26 35,24,21,True,5 15 16 20
A,8 10 13 26 35,0,14,True,2 11 29 32
A,8 10 13 26 35,24,14,True,2 11 29 32
A,8 10 13 26 35,27,18,False,2 11 29 32
A,8 10 13 26 35,16,18,False,2 11 29 32
A,8 10 13 26 35,22,18,False,9 17 33 34
A,8 10 13 26 35,14,18,False,9 17 33 34
A→,9 13 16 28 30,4,25,True,0 3 23 29
A→,9 13 16 28 30,14,25,True,0 3 23 29
A→,9 13 16 28 30,4,19,True,18 22 24 33
A→,9 13 16 28 30,1,19,True,18 22 24 33
A→,9 13 16 28 30,4,18,True,14 21 27 35
A→,9 13 16 28 30,1,18,True,14 21 27 35
A→,9 13 16 28 30,1,20,False,0 3 23 29
A→,9 13 16 28 30,18,20,False,0 3 23 29
A→,9 13 16 28 30,4,19,False,14 21 27 35
A→,9 13 16 28 30,0,19,False,14 21 27 35
A→,9 13 16 28 30,4,14,False,12 17 31 34
A→,9 13 16 28 30,0,14,False,12 17 31 34
A→,9 13 16 28 30,18,0,True,12 17 31 34
A→,9 13 16 28 30,26,0,True,12 17 31 34
A→,9 13 16 28 30,25,0,True,18 22 24 33
A→,9 13 16 28 30,14,0,True,18 22 24 33
A↓,0 9 22 25 27,28,6,False,5 23 31 32
A↓,0 9 22 25 27,14,6,False,5 23 31 32
A↓,0 9 22 25 27,28,7,False,1 2 18 26
A↓,0 9 22 25 27,10,7,False,1 2 18 26
A↓,0 9 22 25 27,28,1,False,15 19 20 30
A↓,0 9 22 25 27,10,1,False,15 19 20 30
A↓,0 9 22 25 27,10,12,True,5 23 31 32
A↓,0 9 22 25 27,1,12,True,5 23 31 32
A↓,0 9 22 25 27,28,6,True,15 19 20 30
A↓,0 9 22 25 27,4,6,True,15 19 20 30
A↓,0 9 22 25 27,28,13,True,3 6 24 33
A↓,0 9 22 25 27,4,13,True,3 6 24 33
A↓,0 9 22 25 27,1,4,False,3 6 24 33
A↓,0 9 22 25 27,12,4,False,3 6 24 33
