ItemId,RetainerTaskRandomId
4850,30001
5434,30001
5824,30001
5292,30002
5442,30002
5824,30002
5888,30002
4760,30003
4773,30003
5435,30003
5454,30003
5551,30003
5824,30003
5889,30003
5296,30004
5355,30004
5824,30004
5436,30005
5496,30005
5629,30005
5824,30005
5447,30006
5455,30006
5554,30006
5664,30006
5669,30006
5674,30006
5679,30006
5824,30006
6149,30006
5303,30007
5347,30007
5824,30007
5322,30008
5555,30008
5630,30008
5824,30008
4768,30009
4775,30009
5263,30009
5348,30009
5665,30009
5670,30009
5675,30009
5680,30009
5824,30009
5310,30010
5631,30010
5701,30010
5711,30010
5824,30010
6140,30010
4816,30011
5316,30011
5825,30011
7042,30011
7605,30011
5316,30012
5825,30012
6150,30012
7579,30012
7581,30012
7582,30012
12909,30012
5316,30013
6150,30013
7566,30013
7599,30013
7794,30013
7795,30013
7806,30013
2,30014
6,30014
5106,30014
5488,30014
5824,30014
2,30015
6,30015
5128,30015
5133,30015
5824,30015
5111,30016
5267,30016
5518,30016
5744,30016
5824,30016
5895,30016
5129,30017
5229,30017
5465,30017
5684,30017
5699,30017
5759,30017
5824,30017
5901,30017
5153,30018
5156,30018
5270,30018
5689,30018
5744,30018
5812,30018
5824,30018
5895,30018
5523,30019
5527,30019
5528,30019
5773,30019
5790,30019
5824,30019
5901,30019
5134,30020
5136,30020
5137,30020
5685,30020
5700,30020
5749,30020
5799,30020
5824,30020
5895,30020
5142,30021
5526,30021
5690,30021
5710,30021
5767,30021
5790,30021
5824,30021
5901,30021
5140,30022
5145,30022
5272,30022
5695,30022
5766,30022
5795,30022
5824,30022
5895,30022
5263,30023
5458,30023
5686,30023
5691,30023
5696,30023
5701,30023
5706,30023
5711,30023
5824,30023
5118,30024
5121,30024
5273,30024
5825,30024
6152,30024
7041,30024
7602,30024
5121,30025
5158,30025
5273,30025
5825,30025
6152,30025
7584,30025
5118,30026
5273,30026
5825,30026
6152,30026
7566,30026
7597,30026
7794,30026
7795,30026
4,30027
5,30027
4828,30027
5516,30027
5824,30027
5,30028
4803,30028
4831,30028
5351,30028
5383,30028
5824,30028
4778,30029
5343,30029
5539,30029
5767,30029
5824,30029
5894,30029
4785,30030
5405,30030
5781,30030
5824,30030
4812,30031
4836,30031
5749,30031
5797,30031
5824,30031
5894,30031
5359,30032
5777,30032
5824,30032
5900,30032
5360,30033
5409,30033
5543,30033
5690,30033
5753,30033
5812,30033
4793,30034
4814,30034
4842,30034
5695,30034
5824,30034
5900,30034
4815,30035
4845,30035
5564,30035
5700,30035
5784,30035
5824,30035
5894,30035
5055,30036
5414,30036
5686,30036
5691,30036
5696,30036
5701,30036
5706,30036
5711,30036
5824,30036
4816,30037
5350,30037
5395,30037
5537,30037
5825,30037
7041,30037
5350,30038
5537,30038
5545,30038
5825,30038
6148,30038
7580,30038
12910,30038
5350,30039
5545,30039
5825,30039
5824,30042
5893,30042
4881,30043
4884,30043
5824,30043
4958,30044
5753,30044
5824,30044
5893,30044
4893,30045
5709,30045
5781,30045
5798,30045
5824,30045
4896,30046
4898,30046
5695,30046
5744,30046
5824,30046
4982,30047
5462,30047
5700,30047
5824,30047
4903,30048
5466,30048
5690,30048
5785,30048
5824,30048
4997,30049
5040,30049
5701,30049
5824,30049
4816,30050
5020,30050
5825,30050
6147,30050
4915,30051
5020,30051
5825,30051
6147,30051
7587,30051
4915,30052
5020,30052
5825,30052
6147,30052
7566,30052
7794,30052
7795,30052
1662,30053
1731,30053
1799,30053
1870,30053
1940,30053
2043,30053
2132,30053
2271,30053
2290,30053
2752,30053
2820,30053
2821,30053
2822,30053
2823,30053
2962,30053
3167,30053
3168,30053
3170,30053
3171,30053
3279,30053
3418,30053
3419,30053
3420,30053
3644,30053
3676,30053
3743,30053
3863,30053
3864,30053
3865,30053
4249,30053
4250,30053
4256,30053
4257,30053
4357,30053
4358,30053
4359,30053
4483,30053
4484,30053
4498,30053
4499,30053
32161,30053
35570,30053
5316,30054
5317,30054
6150,30054
7579,30054
7581,30054
7582,30054
8199,30054
5118,30055
5121,30055
5825,30055
6152,30055
7583,30055
7584,30055
7770,30055
8201,30055
9375,30055
4800,30056
5350,30056
5537,30056
5825,30056
7586,30056
8025,30056
9348,30056
4915,30057
5020,30057
5825,30057
6147,30057
7585,30057
7587,30057
8022,30057
9347,30057
5313,30058
5314,30058
5316,30058
5825,30058
7806,30058
8199,30058
5146,30059
5825,30059
6152,30059
7588,30059
7589,30059
7766,30059
5825,30060
6148,30060
7591,30060
7592,30060
7593,30060
7596,30060
8025,30060
9348,30060
4915,30061
4923,30061
5020,30061
5028,30061
5825,30061
7598,30061
8022,30061
9347,30061
5313,30062
5314,30062
5316,30062
5437,30062
5825,30062
7599,30062
7806,30062
5146,30063
5825,30063
6152,30063
7588,30063
7589,30063
7597,30063
6148,30064
7591,30064
7592,30064
7593,30064
7596,30064
8025,30064
9348,30064
4923,30065
5020,30065
5025,30065
5028,30065
7598,30065
7601,30065
9347,30065
5313,30066
5825,30066
7041,30066
7599,30066
7795,30066
7806,30066
12574,30066
12909,30066
5147,30067
5148,30067
5149,30067
5150,30067
5825,30067
7588,30067
7597,30067
7610,30067
5365,30068
5394,30068
5825,30068
7611,30068
8024,30068
8025,30068
9348,30068
5025,30069
7690,30069
7916,30069
7930,30069
7951,30069
9347,30069
12911,30069
5313,30070
5825,30070
7041,30070
7599,30070
7795,30070
7806,30070
12574,30070
12651,30070
12909,30070
5147,30071
5825,30071
7610,30071
8030,30071
9519,30071
10093,30071
12648,30071
5825,30072
7611,30072
8025,30072
8031,30072
9348,30072
9518,30072
10096,30072
12650,30072
5025,30073
7690,30073
7916,30073
7930,30073
7951,30073
9347,30073
10123,30073
12061,30073
5507,30074
5825,30074
8199,30074
12566,30074
12592,30074
12596,30074
12612,30074
12614,30074
12651,30074
5159,30075
5825,30075
12520,30075
12522,30075
12526,30075
12538,30075
12548,30075
12648,30075
12901,30075
20525,30075
5825,30076
8025,30076
12613,30076
12650,30076
12897,30076
12898,30076
12899,30076
12943,30076
12944,30076
20525,30076
5825,30077
9347,30077
12061,30077
12615,30077
12616,30077
12718,30077
12719,30077
12720,30077
12741,30077
20525,30077
5825,30078
19874,30078
19877,30078
19919,30078
19922,30078
19923,30078
19924,30078
19999,30078
20530,30078
5825,30079
19951,30079
19968,30079
19969,30079
19970,30079
20525,30079
5825,30080
19853,30080
19856,30080
19860,30080
19861,30080
19931,30080
20525,30080
4894,30081
5825,30081
20050,30081
20525,30081
5825,30082
19873,30082
19878,30082
19920,30082
19921,30082
19985,30082
20000,30082
20001,30082
20530,30082
5825,30083
19952,30083
19954,30083
19957,30083
19971,30083
19972,30083
19973,30083
20525,30083
5825,30084
19852,30084
19857,30084
19932,30084
19933,30084
19989,30084
20525,30084
5825,30085
20105,30085
20191,30085
20198,30085
20209,30085
20226,30085
20525,30085
5825,30086
19873,30086
19877,30086
19985,30086
19999,30086
20000,30086
20001,30086
20530,30086
21059,30086
5825,30087
19907,30087
19968,30087
19969,30087
19970,30087
19971,30087
19972,30087
20525,30087
21058,30087
5825,30088
19857,30088
19865,30088
19918,30088
19931,30088
19932,30088
19933,30088
20525,30088
21064,30088
5825,30089
20090,30089
20105,30089
20138,30089
20165,30089
20198,30089
20209,30089
20525,30089
21063,30089
5825,30090
27732,30090
27733,30090
27763,30090
27797,30090
27798,30090
27850,30090
27851,30090
5825,30091
27696,30091
27697,30091
27698,30091
27699,30091
27801,30091
27817,30091
27954,30091
5825,30092
27683,30092
27684,30092
27685,30092
27747,30092
27750,30092
27753,30092
27832,30092
5825,30093
12061,30093
27457,30093
27462,30093
27473,30093
27475,30093
27540,30093
5825,30094
8199,30094
27734,30094
27735,30094
27736,30094
27756,30094
27773,30094
27852,30094
21058,30095
27702,30095
27703,30095
27726,30095
27727,30095
27728,30095
27729,30095
27730,30095
5825,30096
21064,30096
27686,30096
27687,30096
27828,30096
27833,30096
5825,30097
9347,30097
27451,30097
27483,30097
27513,30097
27571,30097
27576,30097
5825,30098
27732,30098
27735,30098
27736,30098
27756,30098
27773,30098
27799,30098
27851,30098
28620,30098
5825,30099
27697,30099
27698,30099
27699,30099
27728,30099
27729,30099
27730,30099
27801,30099
28620,30099
28627,30099
5825,30100
27686,30100
27687,30100
27753,30100
27822,30100
27828,30100
27832,30100
27836,30100
28618,30100
5825,30101
9347,30101
27462,30101
27473,30101
27475,30101
27513,30101
27540,30101
27571,30101
28624,30101
