RowId,ShopId,Name
1,2752514,Spend company credits (items)
2,1769813,Achievement Rewards
3,1769845,Achievement Rewards 2
4,1769846,Achievement Rewards 3
5,1769577,Exchange Centurio Seals
6,1769578,Exchange Centurio Seals (Advanced)
7,1769748,Exchange Spoils
8,1769842,Gold Certificates of Commendation
9,1769841,Silver Certificates of Commendation
10,1769956,Bronze Certificates of Commendation
11,262918,Purchase a Eureka weapon replica (DoW).
12,262922,Purchase a Eureka weapon replica (DoM).
13,1770041,Skybuilders' Scrips
14,1770281,Skybuilders' Scrips (Gear/Furnishings)
15,1770301,Skybuilders' Scrips (Materials/Materia/Items)
16,1770343,Fête Tokens
