ItemId,FittingShopItemSetId,PriceCentsUSD
2638,0,300
2639,0,300
2640,0,300
2641,0,300
2643,1000097,500
2645,0,300
2646,0,300
2647,0,300
2648,0,300
2659,0,300
2671,0,300
2707,0,300
2751,0,300
2809,0,300
2966,1000097,500
2967,0,300
2968,0,300
2969,0,300
2970,0,300
2971,0,300
2972,0,300
2973,1000077,500
2974,1000078,500
2975,1000079,500
2976,1000080,500
2977,1000081,500
2978,1000082,500
2979,1000083,500
2980,1000084,500
2981,1000085,500
2982,1000086,500
3280,0,300
3281,0,300
3282,0,300
3283,0,300
3284,0,300
3285,0,300
3286,1000077,500
3287,1000078,500
3288,1000079,500
3289,1000080,500
3290,1000081,500
3291,1000082,500
3292,1000083,500
3293,1000084,500
3294,1000085,500
3295,1000086,500
3748,0,300
3749,0,300
4199,0,300
4200,0,300
4301,0,300
4302,0,300
4303,0,300
4404,0,300
4405,0,300
4406,0,300
4407,0,300
4408,0,300
5827,0,900
5827,0,1200
5827,0,1500
5827,0,2000
5827,0,2500
5827,0,2500
5827,0,2500
5827,0,2500
5827,0,2500
5827,0,2500
5827,0,2500
5827,0,2500
5827,0,2500
5827,0,2500
5827,0,2500
5827,0,2500
5827,0,2500
5827,0,2500
5827,0,2500
5827,0,2500
5827,0,2500
5827,0,2500
5827,0,2500
5827,0,2500
6033,0,300
6034,0,300
6035,0,300
6036,0,300
6037,0,300
6038,0,300
6039,0,300
6040,0,300
6041,1000062,1500
6042,1000062,1500
6043,1000062,1500
6044,1000062,1500
6045,1000063,1500
6046,1000063,1500
6047,1000063,1500
6048,1000063,1500
6094,1000087,500
6095,1000087,500
6096,1000088,500
6097,1000088,500
6098,1000089,500
6099,1000089,500
6100,1000090,500
6101,1000090,500
6106,0,300
6107,0,500
6108,0,500
6207,0,500
6217,0,500
6221,0,999
6221,0,1000
6221,0,2800
6221,0,4500
6964,0,300
6965,0,300
6966,0,300
6967,0,300
6968,1000098,500
6969,1000098,500
6970,1000098,500
6971,1000064,500
6971,1000065,500
6972,1000064,500
6973,1000065,500
6974,1000064,500
6974,1000065,500
6975,1000064,500
6976,1000065,500
6977,1000064,500
6977,1000065,500
6986,0,500
7569,0,999
8111,1000096,500
8116,1000096,500
8119,1000096,500
8124,0,300
8128,0,300
8164,0,300
8203,0,500
8204,0,500
8206,0,500
8532,0,300
8533,0,300
8534,0,300
8535,0,300
8536,0,300
8537,0,300
8706,1000106,1200
8707,1000106,1200
8708,1000106,1200
8709,1000106,1200
8710,1000106,1200
8711,1000094,500
8712,1000094,500
8713,1000094,500
8714,1000094,500
8715,0,300
8718,0,700
8722,0,500
8723,0,500
8724,0,500
8725,0,500
8726,0,2400
8732,0,100
8732,0,750
8733,0,100
8733,0,750
8734,0,100
8734,0,750
8735,0,100
8735,0,750
8736,0,100
8736,0,750
8737,0,100
8737,0,750
8738,0,100
8738,0,750
8739,0,100
8739,0,750
8740,0,100
8740,0,750
8741,0,100
8741,0,750
8742,0,100
8742,0,750
8743,0,100
8743,0,750
8744,0,100
8744,0,750
8745,0,100
8745,0,750
8746,0,100
8746,0,750
8747,0,100
8747,0,750
8748,0,100
8748,0,750
8749,0,100
8749,0,750
8750,0,100
8750,0,750
8751,0,100
8751,0,750
9268,0,300
9269,0,300
9270,0,300
9271,0,300
9272,1000099,500
9273,1000099,500
9274,1000099,500
9275,1000099,500
9290,0,300
9345,0,500
9545,0,0
9546,0,1000
9547,0,2000
10066,0,300
10067,0,300
10068,0,300
10069,0,300
10070,0,300
10075,0,500
10316,0,300
10317,0,300
10318,0,300
10319,0,300
10320,0,300
10321,0,300
10328,0,300
12040,0,200
12047,0,500
12060,0,500
12065,0,500
12995,0,900
12995,0,1200
12995,0,1500
12995,0,2000
12995,0,2500
13004,0,200
13098,0,1200
13099,1000095,500
13100,1000095,500
13101,1000095,500
13102,1000095,500
13104,0,500
13113,0,500
13290,1000100,500
13291,1000100,500
13292,1000100,500
13293,0,300
13293,1000101,500
13294,0,300
13294,1000101,500
13295,0,300
13296,0,300
13297,0,300
13298,0,300
13299,0,300
13300,1000072,500
13321,1000037,1500
13322,1000042,800
13323,1000040,800
13324,1000038,800
13325,1000038,800
13326,1000039,800
13327,1000041,800
13335,0,1000
13335,0,500
13336,0,1500
13337,0,1500
13341,0,1000
13341,0,500
13342,0,1000
13342,0,500
13567,0,300
13568,0,300
13639,1000073,500
13689,0,1200
13690,0,1200
13691,1000042,800
13692,1000042,800
13693,1000040,800
13694,1000040,800
13695,1000040,800
13696,1000039,800
13697,1000039,800
13698,1000039,800
13699,1000039,800
13700,1000041,800
13701,1000041,800
13702,1000041,800
13703,1000037,1500
13724,1000072,500
13725,1000073,500
13991,0,900
14081,0,700
14084,0,2400
14236,0,300
14860,0,1000
14861,1000043,800
14862,1000043,800
14863,1000044,800
14864,1000044,800
14865,1000044,800
14866,1000044,800
14867,1000044,800
14970,1000062,1500
14970,1000063,1500
15095,0,700
15096,0,700
15428,0,1000
15430,0,2999
15434,0,500
15443,0,500
15467,1000091,500
15468,1000091,500
15469,1000091,500
15470,1000091,500
15471,1000091,500
15480,1000009,1800
15481,1000009,1800
15482,1000010,1800
15483,1000010,1800
15484,1000010,1800
15485,1000010,1800
15486,1000010,1800
15612,1000046,1500
15613,1000045,1500
15639,1000003,1800
15640,1000003,1800
15641,1000003,1800
15642,1000004,1800
15643,1000004,1800
15644,1000004,1800
15811,0,300
15812,0,300
15842,0,750
15842,0,300
15843,0,750
15843,0,300
15844,0,750
15844,0,300
15919,0,700
15920,0,700
15938,1000046,1500
15939,1000046,1500
15940,1000046,1500
15941,1000046,1500
15942,1000045,1500
15943,1000045,1500
15944,1000045,1500
15988,0,500
15989,0,500
15990,0,500
15991,0,500
15992,0,1000
15992,0,500
15993,0,1000
15993,0,500
15994,0,1000
15994,0,500
15995,0,1000
15995,0,500
15996,0,1000
15996,0,500
15997,0,1000
15997,0,500
15998,0,500
15999,0,500
16000,0,500
16000,0,500
16000,0,500
16000,0,500
16000,0,500
16001,0,500
16002,0,500
16003,0,500
16004,0,500
16005,0,500
16006,0,500
16007,0,500
16008,0,500
16009,0,500
16010,0,500
16027,0,699
16028,0,699
16029,0,699
16042,1000107,1200
16043,1000107,1200
16044,1000107,1200
16045,1000107,1200
16046,1000108,1200
16047,1000108,1200
16048,1000108,1200
16147,0,500
16148,0,500
16149,0,500
16150,0,500
16151,0,500
16559,0,1000
16560,0,1000
16561,0,2400
16575,0,500
16578,1000017,1800
16579,1000017,1800
16580,1000017,1800
16581,1000017,1800
16582,1000017,1800
16583,1000018,1800
16584,1000018,1800
16585,1000018,1800
16586,1000018,1800
16587,1000018,1800
16588,1000011,1800
16589,1000011,1800
16591,1000011,1800
16592,1000012,1800
16593,1000012,1800
16595,1000012,1800
16612,0,300
16613,0,300
16614,0,300
16615,0,300
16795,0,300
16796,0,300
16797,0,300
16798,0,300
16930,0,700
16931,0,700
17009,0,1200
17037,0,1000
17037,0,500
17038,0,1000
17038,0,500
17039,0,1000
17039,0,500
17040,0,500
17041,0,500
17042,0,500
17043,0,500
17044,0,1000
17044,0,1000
17044,0,500
17045,0,1000
17045,0,500
17046,0,500
17472,1000049,1500
17473,1000049,1500
17474,1000049,1500
17476,1000074,500
17477,1000074,500
17478,1000074,500
17479,1000074,500
17480,1000074,500
17481,1000075,500
17482,1000075,500
17483,1000075,500
17484,1000075,500
17485,1000075,500
17526,0,500
17596,1000047,800
17597,1000047,800
17598,1000047,800
17599,1000047,800
17600,1000048,800
17601,1000048,800
17602,1000048,800
17603,1000048,800
17619,0,300
17704,1000007,400
17705,1000007,400
17706,1000007,400
17707,1000006,500
17708,1000006,500
17709,1000006,500
17710,1000005,500
17711,1000005,500
17712,1000005,500
17713,1000008,400
17714,1000008,400
17715,0,300
17716,0,300
17844,0,300
17845,0,300
17846,0,300
20289,0,1200
20479,1000015,1800
20481,1000015,1800
20482,1000015,1800
20483,1000015,1800
20484,1000016,1800
20486,1000016,1800
20487,1000016,1800
20488,1000016,1800
20489,1000103,1800
20490,1000103,1800
