Identifier,BlockedTiles,Present,Sword,Sword3x2,ConfirmedFoxes
A←,5 7 19 22 26,24,2,true,6 12 32 35
A←,5 7 19 22 26,14,2,true,6 12 32 35
A←,5 7 19 22 26,24,8,true,2 11 13 17
A←,5 7 19 22 26,27,8,true,2 11 13 17
A←,5 7 19 22 26,24,9,true,0 8 14 21
A←,5 7 19 22 26,27,9,true,0 8 14 21
A←,5 7 19 22 26,27,2,false,6 12 32 35
A←,5 7 19 22 26,10,2,false,6 12 32 35
A←,5 7 19 22 26,24,3,false,0 8 14 21
A←,5 7 19 22 26,28,3,false,0 8 14 21
A←,5 7 19 22 26,24,8,false,1 4 18 23
A←,5 7 19 22 26,28,8,false,1 4 18 23
A←,5 7 19 22 26,10,27,true,1 4 18 23
A←,5 7 19 22 26,2,27,true,1 4 18 23
A←,5 7 19 22 26,3,27,true,2 11 13 17
A←,5 7 19 22 26,14,27,true,2 11 13 17
A,8 10 13 26 35,0,16,false,3 4 12 30
A,8 10 13 26 35,14,16,false,3 4 12 30
A,8 10 13 26 35,0,15,false,9 17 33 34
A,8 10 13 26 35,18,15,false,9 17 33 34
A,8 10 13 26 35,0,21,false,5 15 16 20
A,8 10 13 26 35,18,21,false,5 15 16 20
A,8 10 13 26 35,18,15,true,3 4 12 30
A,8 10 13 26 35,27,15,true,3 4 12 30
A,8 10 13 26 35,0,21,true,5 15 16 20
A,8 10 13 26 35,24,21,true,5 15 16 20
A,8 10 13 26 35,0,14,true,2 11 29 32
A,8 10 13 26 35,24,14,true,2 11 29 32
A,8 10 13 26 35,27,18,false,2 11 29 32
A,8 10 13 26 35,16,18,false,2 11 29 32
A,8 10 13 26 35,22,18,false,9 17 33 34
A,8 10 13 26 35,14,18,false,9 17 33 34
A→,9 13 16 28 30,4,25,true,0 3 23 29
A→,9 13 16 28 30,14,25,true,0 3 23 29
A→,9 13 16 28 30,4,19,true,18 22 24 33
A→,9 13 16 28 30,1,19,true,18 22 24 33
A→,9 13 16 28 30,4,18,true,14 21 27 35
A→,9 13 16 28 30,1,18,true,14 21 27 35
A→,9 13 16 28 30,1,20,false,0 3 23 29
A→,9 13 16 28 30,18,20,false,0 3 23 29
A→,9 13 16 28 30,4,19,false,14 21 27 35
A→,9 13 16 28 30,0,19,false,14 21 27 35
A→,9 13 16 28 30,4,14,false,12 17 31 34
A→,9 13 16 28 30,0,14,false,12 17 31 34
A→,9 13 16 28 30,18,0,true,12 17 31 34
A→,9 13 16 28 30,26,0,true,12 17 31 34
A→,9 13 16 28 30,25,0,true,18 22 24 33
A→,9 13 16 28 30,14,0,true,18 22 24 33
A↓,0 9 22 25 27,28,6,false,5 23 31 32
A↓,0 9 22 25 27,14,6,false,5 23 31 32
A↓,0 9 22 25 27,28,7,false,1 2 18 26
A↓,0 9 22 25 27,10,7,false,1 2 18 26
A↓,0 9 22 25 27,28,1,false,15 19 20 30
A↓,0 9 22 25 27,10,1,false,15 19 20 30
A↓,0 9 22 25 27,10,12,true,5 23 31 32
A↓,0 9 22 25 27,1,12,true,5 23 31 32
A↓,0 9 22 25 27,28,6,true,15 19 20 30
A↓,0 9 22 25 27,4,6,true,15 19 20 30
A↓,0 9 22 25 27,28,13,true,3 6 24 33
A↓,0 9 22 25 27,4,13,true,3 6 24 33
A↓,0 9 22 25 27,1,4,false,3 6 24 33
A↓,0 9 22 25 27,12,4,false,3 6 24 33
