BNpcBaseId,BNpcNameId,TerritoryTypeId,Position,Subtype
312,361,137,31.6;25.6;209.10303,32
312,361,137,31.7;26.8;269.62338,0
322,1313,137,27.3;28.7;363.49295,31
322,1313,137,29.1;32;529.4614,0
322,1313,137,30.5;32.2;536.74176,0
322,1313,137,29.4;25.9;223.39711,0
322,1313,137,28.3;30.6;456.8903,0
322,1313,137,27.3;32.6;556.65845,0
322,1313,137,27;34.7;661.98315,0
386,639,137,30.6;25;180.97548,32
386,639,137,31.8;25.2;189.25064,0
386,639,137,31.7;24.1;133.68431,0
386,639,137,30.2;23.8;118.3745,0
45,45,137,31.6;27.5;304.70157,34
1420,1608,137,27.5;28.6;359.9036,34
1408,894,137,27.4;28.9;374.3137,33
2,411,137,23;21.3;-5.516623,6
2,411,137,23.1;20.1;-64.4102,4
2,411,137,24.2;19.9;-76.71868,0
2,411,137,18;34.1;632.7303,0
2,411,137,19.2;34.9;671.09094,0
2,411,137,18.1;35.2;687.3884,0
2,411,137,17.3;30.9;474.8608,0
2,411,137,16.8;26.1;233.50586,0
2,411,137,15.2;26.4;247.16017,0
136,396,137,23.1;21.1;-14.614323,5
136,396,137,24.3;21.7;11.4276,0
136,396,137,19.9;25.8;220.02026,0
136,396,137,19.8;27.2;288.4536,0
136,396,137,21.4;27.4;296.91522,0
136,396,137,18.7;28.1;332.97327,0
136,396,137,21.1;28.4;350.98306,0
136,396,137,17.7;26.7;262.53574,0
136,396,137,19.1;29.5;405.99362,0
136,396,137,17.3;29;379.8063,0
136,396,137,19.9;31;477.39484,0
136,396,137,16.6;31.2;489.52966,0
136,396,137,16.7;32.6;557.8504,0
136,396,137,18.5;32.7;565.645,0
136,396,137,19.7;32.7;564.187,0
136,396,137,15.3;30.8;467.07645,0
136,396,137,17.5;33.7;611.4129,0
136,396,137,18.7;34.1;632.9287,0
136,396,137,21;32.3;545.6298,0
136,396,137,23.9;20.1;-64.987595,0
136,396,137,16.4;26.5;251.71214,0
136,396,137,16.4;25.4;196.23372,0
136,396,137,15.9;27.9;322.91583,0
136,396,137,17.7;31.6;510.56003,0
788,1273,137,21.6;22.4;50.65337,3
952,0,137,21.2;21.5;5.8100085,0
952,0,137,32.3;30.8;467.43625,0
952,0,137,31.2;30.9;475.74518,0
952,0,137,31.8;32.3;544.5681,0
952,0,137,17.6;29.9;422.43164,0
952,0,137,17.4;31.4;497.57172,0
952,0,137,17.2;32.9;573.2653,0
952,0,137,36.9;27.1;284.00537,0
952,0,137,35.5;27.8;319.98886,0
952,0,137,34.9;29.3;392.0104,0
952,0,137,17.6;26.8;268.28583,0
952,0,137,18.6;25.6;206.13783,0
952,0,137,21.1;27.4;300.91882,0
952,0,137,20;25.7;211.06194,0
952,0,137,20;26.9;273.36526,0
55,1821,137,25.2;21.3;-8.968598,0
55,1821,137,27.2;21.4;-0.76766896,0
55,1821,137,28.9;21.1;-14.041936,0
55,1821,137,31;20.1;-64.57586,0
61,1822,137,25.5;20.9;-25.80881,0
61,1822,137,27.5;21.2;-12.207878,0
61,1822,137,30.1;19.3;-104.333824,0
61,1822,137,30.3;21.1;-15.961742,0
63,1824,137,25.6;20.9;-26.773466,0
63,1824,137,27.6;21.1;-16.335585,0
63,1824,137,29.5;21.4;-1.3963492,0
63,1824,137,30.6;19;-122.64472,0
64,1825,137,25.6;21.2;-9.489019,0
64,1825,137,27;21;-22.825926,0
64,1825,137,28.2;20.7;-34.55107,0
64,1825,137,29.5;19.8;-80.4507,0
64,1825,137,31;19.5;-95.92129,0
62,1823,137,26;21.4;-3.302896,0
62,1823,137,27.8;20.8;-30.891552,0
62,1823,137,29.2;19.4;-102.3868,0
62,1823,137,29.6;21.4;-1.9774749,0
62,1823,137,30.2;19.3;-106.01969,0
201,1826,137,28.5;19.6;-93.76828,0
201,1826,137,29.1;20.6;-42.258812,0
201,1826,137,30.1;20.7;-37.859066,0
201,1826,137,30.5;19.4;-100.00681,0
1082,891,137,30.2;29.2;389.1048,0
13498,10261,137,32.9;29.3;395.67545,0
13498,10261,137,32.4;33.4;596.19037,0
13498,10261,137,32.7;31.5;501.2025,0
13498,10261,137,21.1;21.7;12.111121,0
13498,10261,137,31.3;31;476.44833,0
13498,10261,137,34.9;29.3;392.0104,0
13498,10261,137,21.1;25.5;204.02194,0
13498,10261,137,20;25.6;209.28645,0
13498,10261,137,17.6;26.6;259.23752,0
389,643,137,32.1;30.5;455.90417,0
389,643,137,32.8;31.8;516.1321,0
789,1274,137,31.9;32.7;564.839,0
789,1274,137,29.5;30.5;453.3651,0
790,1274,137,30.7;29.2;386.2941,0
133,115,137,29.7;31.1;483.91415,0
133,115,137,30.8;32.5;554.6597,0
133,115,137,32;32.3;545.5788,0
133,115,137,29.8;33.3;592.45245,0
133,115,137,30.1;28.1;333.92484,0
133,115,137,30.3;35.5;702.1155,0
133,115,137,30;36.9;772.72705,0
133,115,137,28.7;36.3;742.37744,0
133,115,137,30.8;26.9;271.89667,0
133,115,137,30.3;25.3;192.06824,0
133,115,137,30.1;24.1;132.20311,0
133,115,137,28.1;28;327.01266,0
133,115,137,28;30;426.5615,0
133,115,137,28.8;26.6;259.65823,0
133,115,137,28;24.8;168.12912,0
133,115,137,27.6;33.3;594.82007,0
133,115,137,27.5;32;529.8305,0
133,115,137,26.1;33.8;620.22766,0
382,4667,137,32.7;32.8;567.0204,0
5252,4666,137,33.1;33;579.79614,0
325,560,137,30.7;33.4;600.3013,0
325,560,137,31.5;35.1;682.23804,0
325,560,137,31.2;36.5;755.53955,0
325,560,137,29.4;35;676.8613,0
325,560,137,29.3;36.3;742.72156,0
1371,1200,137,31;35;679.5558,0
1372,1201,137,31;35.2;687.0795,0
1891,1979,137,32.6;32.5;553.8503,0
1216,1339,137,31.2;28.5;352.57684,0
13498,1401,137,31.7;30.6;456.07388,0
314,341,137,29.9;34.6;656.96576,0
314,341,137,29.4;35.7;711.9306,0
314,341,137,27.9;35.3;695.73126,0
314,341,137,27.2;36.5;751.7827,0
857,1061,137,29.8;30.2;437.08182,0
2107,1721,137,21.9;23.6;106.3547,0
1289,1720,137,22;23.5;105.8703,0
331,373,137,28.1;26.2;240.9365,0
1152,981,137,23.8;21.2;-11.784121,0
344,413,137,24.1;20.5;-48.326256,0
343,414,137,24.1;20.5;-48.936832,0
346,415,137,24.2;20.4;-53.471344,0
328,379,137,28.1;25.9;221.79582,0
329,369,137,27.9;25.5;205.0659,0
1378,1326,137,32.5;23.3;91.88202,0
1008,1398,137,31.4;30.7;463.67462,0
1008,1398,137,32.8;30.5;453.4468,0
1008,1398,137,20.9;21.5;5.357565,0
1008,1398,137,19;25.3;194.49187,0
170,351,137,26.5;32.6;556.4885,0
1231,858,137,26.3;32.8;567.08484,0
384,684,137,19.6;25;176.34496,0
384,684,137,18.4;24.9;173.23177,0
384,684,137,18.9;33.9;625.11334,0
26,26,137,20.2;25.9;221.6316,0
26,26,137,19.1;26.2;237.58623,0
26,26,137,17.6;26.6;259.25934,0
26,26,137,16.6;27.2;290.98102,0
26,26,137,15;28.6;358.0932,0
117,352,137,18.5;27.3;291.65442,0
117,352,137,19.7;28.4;349.17252,0
117,352,137,18.5;28.3;345.37378,0
117,352,137,19.5;27;280.92593,0
320,353,137,21.3;29;379.41687,0
320,353,137,18.6;29.3;392.09875,0
320,353,137,20.2;29.3;391.49658,0
320,353,137,17.2;28.8;369.66223,0
320,353,137,17.1;30.4;447.11923,0
320,353,137,17.5;31.4;498.16837,0
320,353,137,16.3;31.9;523.21735,0
320,353,137,18.6;32.4;549.7928,0
320,353,137,16;28.2;338.18387,0
320,353,137,17.6;32.8;568.9529,0
320,353,137,18.3;33.8;616.95526,0
3186,2930,137,21.3;29.5;402.6877,0
3186,2930,137,17.8;27.4;298.1811,0
178,366,137,19.4;30.6;460.8437,0
178,366,137,20.5;31.7;515.20526,0
178,366,137,19.5;31.6;506.78668,0
178,366,137,21.5;31.6;509.60043,0
178,366,137,20.4;32.9;575.7333,0
321,355,137,16.8;32.5;552.8305,0
1289,1660,137,18.1;32;528.1639,0
1216,1340,137,30.3;29.5;404.69043,0
3203,2947,137,20.5;33.1;582.2848,0
3203,2947,137,21.4;28.2;339.454,0
1212,1659,137,16.2;27.5;304.244,0
2144,1517,137,18.8;24.9;172.40485,0
13500,1400,137,19.1;25.9;221.55487,0
1008,1398,129,9.1;11.1;-2.6068704,63
1008,1398,129,11.2;11.8;30.211039,98
1008,1398,129,7.2;12.5;64.34332,8
1008,1398,129,6.2;12.1;47.997448,6
1008,1398,129,4.5;11;-10.8,39
1008,1398,129,4.5;12.3;55.44428,51
1008,1398,129,9.6;13.2;98.31808,20
1008,1398,129,8.4;14.1;143.65674,0
1008,1398,129,7.1;13.5;116.82401,0
1008,1398,129,9.8;12.2;48.43337,0
1008,1398,129,3;12.7;75.19644,0
1008,1398,129,10.2;11.2;-0.26227015,0
1008,1398,129,3;11.5;17.106462,0
13498,1401,129,9.1;11.4;11.139076,73
1008,1401,129,6.2;12.1;45.839317,22
1008,1401,129,10.5;11.2;-0.6146266,99
13498,1401,129,8.1;11.8;28.092974,0
1008,1401,129,4.5;12.3;56.094276,0
1008,1401,129,9.4;13.2;102.83103,0
13498,1401,129,7.3;13.1;93.05919,0
13498,1401,129,6.8;14.2;152.72127,0
13498,10261,129,9.2;11.2;2.9490151,6
13498,10261,129,10.4;11.2;0.71712506,69
13498,10261,129,11.7;11.1;-3.4609737,38
13498,10261,129,4.6;12.3;56.024063,51
13498,10261,129,6.9;12.2;48.930447,36
13498,10261,129,7.9;11.9;34.019936,6
13498,10261,129,9.4;13;92.84906,72
13498,10261,129,4.5;11;-10.784848,43
13498,10261,129,8.3;14.3;153.26222,70
13498,10261,129,5.9;12.1;46.282085,0
13498,10261,129,6.9;14.1;143.79674,0
13498,10261,129,7.4;15.4;208.35843,0
13498,10261,129,2.8;12.1;45.800583,0
13498,10261,129,9;15.6;221.50446,0
13498,10261,129,9.3;14;138.27406,0
1008,5478,129,9.9;11.5;15.803256,92
13498,5478,129,9.4;13;89.69963,38
13498,5478,129,8.3;11.5;17.220842,22
13498,5478,129,6.2;12.2;51.021763,17
13498,5478,129,7.3;12.6;68.4,92
1008,5478,129,4.5;12.1;45.052265,0
13498,5478,129,6.9;14.1;145.66324,0
1008,5478,129,8.2;14.1;143.89276,0
